LAST SEEN   TYPE      REASON                    OBJECT                                              MESSAGE
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
18m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
18m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
17m         Normal    Started                   pod/data-service-7fd57b5499-mqdrp                   Container started
16m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
16m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
16m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
16m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
16m         Warning   Failed                    podhttpchaos/data-service-7fd57b5499-mqdrp          failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
16m         Normal    Killing                   pod/data-service-7fd57b5499-mqdrp                   Container data-service failed liveness probe, will be restarted
16m         Normal    Created                   pod/data-service-7fd57b5499-mqdrp                   Container created
16m         Normal    Pulled                    pod/data-service-7fd57b5499-mqdrp                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
14m         Warning   Unhealthy                 pod/data-service-7fd57b5499-mqdrp                   Liveness probe failed: Get "http://10.244.58.174:8002/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
14m         Warning   BackOff                   pod/data-service-7fd57b5499-mqdrp                   Back-off restarting failed container data-service in pod data-service-7fd57b5499-mqdrp_otel-lab(7a812f62-0c11-46db-a38b-2bfbe246e22b)
14m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
14m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
14m         Normal    Updated                   httpchaos/error-rate-data-service-10pct             Successfully update records of resource
14m         Warning   Failed                    httpchaos/error-rate-data-service-10pct             Failed to recover chaos: failed to apply for pod otel-lab/data-service-7fd57b5499-mqdrp: rpc error: code = Unknown desc = apply config: send http request: unexpected EOF
13m         Normal    Killing                   pod/data-service-7fd57b5499-qrcgs                   Stopping container data-service
13m         Normal    Killing                   pod/data-service-7fd57b5499-vc9tg                   Stopping container data-service
13m         Normal    Killing                   pod/data-service-7fd57b5499-8gd5p                   Stopping container data-service
13m         Normal    Killing                   pod/data-service-7fd57b5499-44hz8                   Stopping container data-service
13m         Normal    SuccessfulDelete          replicaset/data-service-7fd57b5499                  Deleted pod: data-service-7fd57b5499-4gmlp
13m         Normal    SuccessfulDelete          replicaset/data-service-7fd57b5499                  Deleted pod: data-service-7fd57b5499-mxl8s
13m         Normal    Killing                   pod/data-service-7fd57b5499-4gmlp                   Stopping container data-service
13m         Normal    ScalingReplicaSet         deployment/data-service                             Scaled down replica set data-service-7fd57b5499 from 10 to 2
13m         Normal    SuccessfulDelete          replicaset/data-service-7fd57b5499                  Deleted pod: data-service-7fd57b5499-qrcgs
13m         Normal    Killing                   pod/data-service-7fd57b5499-xwbr6                   Stopping container data-service
13m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-mxl8s
13m         Normal    SuccessfulDelete          replicaset/data-service-7fd57b5499                  Deleted pod: data-service-7fd57b5499-xwbr6
13m         Normal    Killing                   pod/data-service-7fd57b5499-qcbkr                   Stopping container data-service
13m         Normal    SuccessfulDelete          replicaset/data-service-7fd57b5499                  Deleted pod: data-service-7fd57b5499-qcbkr
13m         Normal    SuccessfulDelete          replicaset/data-service-7fd57b5499                  Deleted pod: data-service-7fd57b5499-8gd5p
13m         Normal    Scheduled                 pod/data-service-7fd57b5499-mxl8s                   Successfully assigned otel-lab/data-service-7fd57b5499-mxl8s to kube-w2
13m         Normal    SuccessfulDelete          replicaset/data-service-7fd57b5499                  Deleted pod: data-service-7fd57b5499-vc9tg
13m         Normal    SuccessfulDelete          replicaset/data-service-7fd57b5499                  Deleted pod: data-service-7fd57b5499-44hz8
9m36s       Normal    Created                   pod/data-service-7fd57b5499-kdgk9                   Container created
9m36s       Normal    Started                   pod/data-service-7fd57b5499-r5vnk                   Container started
9m36s       Normal    Pulled                    pod/data-service-7fd57b5499-c45qm                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m36s       Normal    Pulled                    pod/data-service-7fd57b5499-r5vnk                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m36s       Normal    Created                   pod/data-service-7fd57b5499-c45qm                   Container created
9m36s       Normal    Created                   pod/data-service-7fd57b5499-r5vnk                   Container created
9m36s       Normal    Started                   pod/data-service-7fd57b5499-c45qm                   Container started
9m36s       Normal    Pulled                    pod/data-service-7fd57b5499-j5rdx                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m36s       Normal    Created                   pod/data-service-7fd57b5499-j5rdx                   Container created
9m36s       Normal    Started                   pod/data-service-7fd57b5499-j5rdx                   Container started
9m36s       Normal    Pulled                    pod/data-service-7fd57b5499-kdgk9                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m36s       Normal    Started                   pod/data-service-7fd57b5499-kdgk9                   Container started
9m28s       Normal    Scheduled                 pod/data-service-7fd57b5499-mn5pd                   Successfully assigned otel-lab/data-service-7fd57b5499-mn5pd to kube-w2
9m28s       Normal    Scheduled                 pod/data-service-7fd57b5499-c45qm                   Successfully assigned otel-lab/data-service-7fd57b5499-c45qm to kube-w1
9m28s       Normal    Scheduled                 pod/data-service-7fd57b5499-j5rdx                   Successfully assigned otel-lab/data-service-7fd57b5499-j5rdx to kube-w1
9m28s       Normal    Scheduled                 pod/data-service-7fd57b5499-r5vnk                   Successfully assigned otel-lab/data-service-7fd57b5499-r5vnk to kube-w1
9m28s       Normal    Scheduled                 pod/data-service-7fd57b5499-4gp65                   Successfully assigned otel-lab/data-service-7fd57b5499-4gp65 to kube-w2
9m28s       Normal    Scheduled                 pod/data-service-7fd57b5499-9vp6h                   Successfully assigned otel-lab/data-service-7fd57b5499-9vp6h to kube-w2
9m28s       Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-r5vnk
9m28s       Normal    ScalingReplicaSet         deployment/data-service                             Scaled up replica set data-service-7fd57b5499 from 2 to 10
9m28s       Normal    Scheduled                 pod/data-service-7fd57b5499-kdgk9                   Successfully assigned otel-lab/data-service-7fd57b5499-kdgk9 to kube-w1
9m28s       Normal    Scheduled                 pod/data-service-7fd57b5499-g9bsw                   Successfully assigned otel-lab/data-service-7fd57b5499-g9bsw to kube-w2
9m27s       Normal    Started                   pod/data-service-7fd57b5499-mn5pd                   Container started
9m27s       Normal    Pulled                    pod/data-service-7fd57b5499-g9bsw                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m27s       Normal    Created                   pod/data-service-7fd57b5499-g9bsw                   Container created
9m27s       Normal    Started                   pod/data-service-7fd57b5499-g9bsw                   Container started
9m27s       Normal    Started                   pod/data-service-7fd57b5499-9vp6h                   Container started
9m27s       Normal    Created                   pod/data-service-7fd57b5499-9vp6h                   Container created
9m27s       Normal    Pulled                    pod/data-service-7fd57b5499-9vp6h                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m27s       Normal    Created                   pod/data-service-7fd57b5499-mn5pd                   Container created
9m27s       Normal    Pulled                    pod/data-service-7fd57b5499-mn5pd                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m27s       Normal    Pulled                    pod/data-service-7fd57b5499-4gp65                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
9m27s       Normal    Started                   pod/data-service-7fd57b5499-4gp65                   Container started
9m27s       Normal    Created                   pod/data-service-7fd57b5499-4gp65                   Container created
9m25s       Normal    Applied                   httpchaos/error-rate-data-service-10pct-remediado   Successfully apply chaos for otel-lab/data-service-7fd57b5499-xzlkd
9m25s       Normal    Updated                   httpchaos/error-rate-data-service-10pct-remediado   Successfully update records of resource
9m25s       Normal    Updated                   httpchaos/error-rate-data-service-10pct-remediado   Successfully update records of resource
9m25s       Normal    Updated                   httpchaos/error-rate-data-service-10pct-remediado   Successfully update desiredPhase of resource
9m25s       Normal    Started                   httpchaos/error-rate-data-service-10pct-remediado   Experiment has started
9m25s       Normal    Updated                   httpchaos/error-rate-data-service-10pct-remediado   Successfully update finalizer of resource
9m25s       Normal    FinalizerInited           httpchaos/error-rate-data-service-10pct-remediado   Finalizer has been inited
4m16s       Normal    TimeUp                    httpchaos/error-rate-data-service-10pct-remediado   Time up according to the duration
4m16s       Normal    Updated                   httpchaos/error-rate-data-service-10pct-remediado   Successfully update desiredPhase of resource
4m16s       Normal    Updated                   httpchaos/error-rate-data-service-10pct-remediado   Successfully update records of resource
